record_id,first_name,last_name,address,telephone,dob,ethnicity,race,sex,height,weight,email
1,Alice,Cornel,88 Dawnview Way,3364812635,1991-05-13,1,4,0,176.1,105,alice.cornel@aol.com
2,Jaida,Wojdyla,69 Jessie West St,5233183616,1931-10-14,1,4,0,173.7,127,jaida.wojdyla@aol.com
3,Allen,Stunkard,49 Sibley Rd,8548788327,1964-09-15,1,3,1,170,166,allen.stunkard@aol.com
4,Isabell,Cimochowski,18 Warner Pl,3986375914,1969-05-03,1,4,1,160.5,98,isabell.cimochowski@aol.com
5,Amber,Woodland,43 Ardath Ct,4487462273,1969-11-22,1,4,0,183.2,112,amber.woodland@aol.com
6,Kayden,Pistoia,37 Cole St,4727418365,1943-08-26,1,4,1,176.8,125,kayden.pistoia@aol.com
7,Gianna,Ahlquist,98 Treat Ave,4398321526,1944-01-22,1,4,0,177,133,gianna.ahlquist@aol.com
8,Chad,Ashlin,56 Ship St,2856641963,1931-04-14,1,4,1,182.4,144,chad.ashlin@aol.com
9,Simon,Djokovic,44 Ironwood Way,4632973167,1962-07-07,1,1,1,160.5,100,simon.djokovic@aol.com
10,Zack,Mosses,18 Tara St,5397286264,1978-06-20,1,3,0,147.9,118,zack.mosses@aol.com
11,Magdalena,Lucini,49 Conrad St,9933768739,1932-05-05,1,4,0,170.2,94,magdalena.lucini@aol.com
12,Lisa,Swierk,97 Washburn St,7549372498,1990-08-11,1,4,1,176.9,128,lisa.swierk@aol.com
13,Adan,Torii,33 Charles j Brenham Pl,3312331878,1986-11-06,1,4,1,183.3,138,adan.torii@aol.com
14,Rafael,Meunier,58 Pfeiffer St,8336867841,1957-10-17,1,4,1,184.4,133,rafael.meunier@aol.com
15,Jessie,Knadle,68 Southard Pl,4899633815,1956-11-06,1,4,1,175,115,jessie.knadle@aol.com
16,Cameron,Arcemont,56 Cadell Pl,4676358541,1947-07-28,1,6,1,196.1,139,cameron.arcemont@aol.com
17,Zoey,Carethers,32 Masonic Ave,5638247317,1987-04-23,1,3,0,200.8,101,zoey.carethers@aol.com
18,Karen,Trammell,16 Ord St,2832216877,1975-06-12,1,4,1,150.6,137,karen.trammell@aol.com
19,Alisa,Burkhouse,49 Hitchcock St,8678353936,1999-05-03,1,4,1,178.2,124,alisa.burkhouse@aol.com
